 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5348,181.497,42.806,30,231,1641.000,1200.500,259.203,84.047,81.018,0.000,1.000,84,1599.000,1200.500,0,81,1.037,0.964,1.003
2,5957,195.787,43.913,44,251,1750.500,1197.500,273.319,87.090,87.090,0.000,1.000,87,1707.000,1197.500,0,87,1.000,1.000,1.001
3,7482,143.598,71.380,12,251,1859.500,1342.000,306.307,98.080,97.129,90.000,1.000,98,1859.500,1391.000,90,97,1.010,0.990,1.001
4,6367,158.590,59.254,16,241,1870.500,1452.500,282.822,93.032,87.139,90.000,1.000,93,1870.500,1499.000,90,87,1.068,0.937,1.005
5,7924,160.062,63.406,0,242,1963.500,1475.000,315.888,105.008,96.080,0.000,0.998,105,1911.000,1475.000,0,96,1.093,0.915,0.996
6,6564,138.496,59.961,0,239,2040.000,1437.500,287.630,96.071,86.994,0.000,0.997,96,1992.000,1437.500,0,87,1.104,0.906,0.999
7,6144,171.028,48.650,35,240,1990.500,1373.000,278.211,93.081,84.043,0.000,0.998,93,1944.000,1373.000,0,84,1.108,0.903,1.006
8,7020,145.012,47.057,24,234,1938.000,1305.500,296.899,96.003,93.103,0.000,1.000,96,1890.000,1305.500,0,93,1.031,0.970,1.003
9,6564,159.945,48.904,22,241,1947.000,1233.500,287.630,96.071,86.994,0.000,0.997,96,1899.000,1233.500,0,87,1.104,0.906,0.999
10,5944,178.560,42.583,13,239,1887.000,1202.000,273.400,90.051,84.043,0.000,0.999,90,1842.000,1202.000,0,84,1.071,0.933,1.002
11,7020,163.362,62.386,4,253,1672.500,1337.000,296.899,96.003,93.103,90.000,1.000,96,1672.500,1385.000,90,93,1.031,0.970,1.003
12,6158,167.539,55.964,16,254,1627.500,1274.000,278.051,90.011,87.108,90.000,1.000,90,1627.500,1319.000,90,87,1.033,0.968,1.001
13,7434,171.436,55.790,26,251,1387.500,1343.000,306.759,105.071,90.085,0.000,0.993,105,1335.000,1343.000,0,90,1.166,0.857,0.998
14,6213,176.519,44.045,31,233,1300.500,1357.500,279.637,90.979,86.950,90.000,0.998,91,1300.500,1403.000,90,87,1.046,0.956,0.999
15,5348,156.182,49.593,26,238,1224.000,1368.500,259.203,84.047,81.018,0.000,1.000,84,1182.000,1368.500,0,81,1.037,0.964,1.003
16,7746,166.950,56.140,9,245,1309.500,1494.000,312.827,104.928,93.993,0.000,0.995,105,1257.000,1494.000,0,94,1.116,0.896,0.999
17,5957,153.933,49.213,14,223,1516.500,1398.500,273.319,87.090,87.090,0.000,1.000,87,1473.000,1398.500,0,87,1.000,1.000,1.001
18,6785,166.704,63.313,26,253,1618.500,1404.500,292.168,92.946,92.946,0.000,0.999,93,1572.000,1404.500,0,93,1.000,1.000,1.006
19,6785,141.859,54.886,10,237,1660.500,1482.500,292.168,92.946,92.946,0.000,0.999,93,1614.000,1482.500,0,93,1.000,1.000,1.006
20,7020,152.873,53.492,7,231,1671.000,1578.500,296.899,96.003,93.103,0.000,1.000,96,1623.000,1578.500,0,93,1.031,0.970,1.003
21,8175,136.257,61.149,4,241,1705.500,1656.500,320.512,105.081,99.055,90.000,1.000,105,1705.500,1709.000,90,99,1.061,0.943,0.996
22,8652,142.100,54.679,3,228,1806.000,1781.000,329.935,107.934,102.063,0.000,0.999,108,1752.000,1781.000,0,102,1.058,0.946,1.000
23,9946,146.569,54.158,2,236,1783.500,1865.000,353.445,114.039,111.047,90.000,1.000,114,1783.500,1922.000,90,111,1.027,0.974,0.999
24,6582,166.595,47.371,18,227,1827.000,1944.500,287.475,93.093,90.022,90.000,1.000,93,1827.000,1991.000,90,90,1.034,0.967,1.005
25,5535,132.814,43.841,13,195,1684.500,1980.500,263.978,87.037,80.970,0.000,0.998,87,1641.000,1980.500,0,81,1.075,0.930,1.001
26,8148,141.815,52.794,12,231,1572.000,2060.000,320.720,108.030,96.032,0.000,0.995,108,1518.000,2060.000,0,96,1.125,0.889,0.998
