 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Group
1,7762,173.764,49.712,31,245,2076.500,711.000,312.638,101.854,97.029,90.000,0.998,102,2076.500,762.000,90,97,1.050,0.953,0.999,7
2,8422,126.011,80.272,2,249,1965.000,737.500,325.172,105.071,102.057,90.000,1.000,105,1965.000,790.000,90,102,1.030,0.971,0.999,7
3,9778,141.803,77.916,7,249,2141.000,794.500,350.303,113.134,110.045,90.000,1.000,113,2141.000,851.000,90,110,1.028,0.973,1.004,7
4,6788,159.478,35.873,21,225,2292.000,808.000,292.244,95.967,90.060,0.000,0.999,96,2244.000,808.000,0,90,1.066,0.938,0.999,7
5,10486,168.437,58.877,0,241,2035.500,1147.000,362.869,116.984,114.128,0.000,1.000,117,1977.000,1147.000,0,114,1.025,0.976,1.003,7
6,9928,149.971,73.005,14,253,2074.500,973.000,353.571,117.062,107.984,0.000,0.998,117,2016.000,973.000,0,108,1.084,0.922,1.000,7
7,7934,169.399,68.533,10,253,1923.000,815.500,315.748,102.067,98.973,0.000,1.000,102,1872.000,815.500,0,99,1.031,0.970,0.999,7
8,9928,157.432,65.027,31,253,1812.000,1115.500,353.571,117.062,107.984,90.000,0.998,117,1812.000,1174.000,90,108,1.084,0.922,1.000,7
9,10211,145.928,69.932,0,253,1285.500,1295.500,358.204,117.075,111.049,0.000,1.000,117,1227.000,1295.500,0,111,1.054,0.949,0.999,7
10,6292,166.806,50.450,22,253,1367.500,959.000,281.192,91.034,88.003,0.000,1.000,91,1322.000,959.000,0,88,1.034,0.967,1.000,7
11,6582,134.770,59.478,25,237,1653.000,692.500,287.475,93.093,90.022,90.000,1.000,93,1653.000,739.000,90,90,1.034,0.967,1.005,7
12,8422,127.871,66.821,7,243,1732.500,724.000,325.172,105.071,102.057,0.000,1.000,105,1680.000,724.000,0,102,1.030,0.971,0.999,7
13,7156,126.560,73.452,0,254,1742.500,808.000,300.024,95.985,94.924,90.000,0.999,96,1742.500,856.000,90,95,1.011,0.989,0.999,7
14,9155,120.244,58.349,7,246,1669.500,872.500,339.357,111.058,104.959,0.000,0.999,111,1614.000,872.500,0,105,1.058,0.945,0.994,7
15,8175,171.989,54.568,29,254,1327.500,1046.500,320.512,105.081,99.055,90.000,1.000,105,1327.500,1099.000,90,99,1.061,0.943,0.996,7
16,8184,150.734,58.667,15,253,1230.000,1066.000,320.442,102.079,102.079,0.000,1.000,102,1179.000,1066.000,0,102,1.000,1.000,1.003,7
17,6788,177.935,60.591,23,255,1176.000,1150.000,292.244,95.967,90.060,0.000,0.999,96,1128.000,1150.000,0,90,1.066,0.938,0.999,7
18,6788,157.428,59.802,15,254,1434.000,1018.000,292.244,95.967,90.060,0.000,0.999,96,1386.000,1018.000,0,90,1.066,0.938,0.999,7
19,8584,148.184,55.252,10,249,1395.000,1116.500,328.389,108.048,101.154,0.000,1.000,108,1341.000,1116.500,0,101,1.068,0.936,1.000,7
20,8422,164.950,59.313,15,254,1333.500,1210.000,325.172,105.071,102.057,0.000,1.000,105,1281.000,1210.000,0,102,1.030,0.971,0.999,7
21,6582,152.386,48.241,8,219,2163.000,1085.500,287.475,93.093,90.022,90.000,1.000,93,2163.000,1132.000,90,90,1.034,0.967,1.005,7
22,8422,134.734,63.082,7,236,2160.000,905.500,325.172,105.071,102.057,90.000,1.000,105,2160.000,958.000,90,102,1.030,0.971,0.999,7
23,7774,132.231,73.599,0,254,1896.500,990.000,312.606,100.984,98.017,0.000,1.000,101,1846.000,990.000,0,98,1.030,0.971,0.999,7
24,5544,166.182,55.122,7,248,1566.000,1063.000,263.894,84.017,84.017,0.000,1.000,84,1524.000,1063.000,0,84,1.000,1.000,1.003,7
25,6788,195.047,41.324,45,253,1560.000,1243.000,292.244,95.967,90.060,0.000,0.999,96,1512.000,1243.000,0,90,1.066,0.938,0.999,7
26,7235,118.054,65.079,7,246,1711.500,953.500,301.667,99.032,93.019,0.000,0.999,99,1662.000,953.500,0,93,1.065,0.939,1.002,7
27,7010,137.141,67.659,2,251,1827.500,833.000,296.982,98.095,90.988,90.000,0.999,98,1827.500,882.000,90,91,1.078,0.928,1.000,7
28,5736,107.014,71.459,12,250,1950.000,920.500,268.627,86.996,83.950,90.000,0.999,87,1950.000,964.000,90,84,1.036,0.965,1.000,7
29,11604,121.916,64.502,3,239,2080.500,865.000,381.718,123.152,119.971,0.000,1.000,123,2019.000,865.000,0,120,1.027,0.974,1.002,7
30,9676,152.550,54.908,22,237,2082.000,1069.000,348.780,114.046,108.025,90.000,1.000,114,2082.000,1126.000,90,108,1.056,0.947,1.001,7
31,5957,173.503,40.865,37,239,1645.500,1112.500,273.319,87.090,87.090,0.000,1.000,87,1602.000,1112.500,0,87,1.000,1.000,1.001,7
32,5160,184.783,66.913,0,253,1572.000,733.000,254.556,84.057,78.160,90.000,1.000,84,1572.000,775.000,90,78,1.075,0.930,1.005,7
33,8900,166.566,42.558,30,241,1686.000,1598.500,334.596,108.006,104.919,0.000,0.999,108,1632.000,1598.500,0,105,1.029,0.971,0.995,7
34,9394,169.017,46.048,28,238,1677.000,1694.500,344.150,113.980,104.937,0.000,0.997,114,1620.000,1694.500,0,105,1.086,0.921,0.997,7
35,10756,170.300,56.406,26,251,2016.000,1057.000,367.627,120.021,114.105,90.000,1.000,120,2016.000,1117.000,90,114,1.052,0.951,1.003,7
36,6582,130.933,46.737,16,218,1428.000,1589.500,287.475,93.093,90.022,90.000,1.000,93,1428.000,1636.000,90,90,1.034,0.967,1.005,7
37,7232,129.744,56.677,9,222,2208.000,838.000,301.593,95.959,95.959,0.000,0.999,96,2160.000,838.000,0,96,1.000,1.000,0.997,7
38,9676,133.194,55.838,9,245,1653.000,778.000,348.780,114.046,108.025,0.000,1.000,114,1596.000,778.000,0,108,1.056,0.947,1.001,7
39,10476,149.470,64.141,0,246,1503.000,1526.500,362.992,120.074,111.085,0.000,0.999,120,1443.000,1526.500,0,111,1.081,0.925,0.999,7
40,7696,191.679,44.717,7,247,1563.000,1543.000,311.089,102.065,96.006,0.000,0.999,102,1512.000,1543.000,0,96,1.063,0.941,1.000,7
41,8400,163.820,59.173,4,254,1230.000,1211.500,325.309,107.952,99.074,0.000,0.997,108,1176.000,1211.500,0,99,1.090,0.918,0.997,7
42,10741,145.341,61.005,8,255,1285.500,1130.500,367.566,116.944,116.944,0.000,0.999,117,1227.000,1130.500,0,117,1.000,1.000,1.001,7
43,9689,119.959,40.176,25,193,1672.500,1847.500,348.717,111.069,111.069,0.000,1.000,111,1617.000,1847.500,0,111,1.000,1.000,0.995,7
44,5736,97.108,23.648,25,154,1747.500,1789.000,268.627,86.996,83.950,0.000,0.999,87,1704.000,1789.000,0,84,1.036,0.965,1.000,7
