 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3274,53.046,40.674,1,183,1270.500,1000.000,202.660,66.099,63.066,90.000,1.000,66,1270.500,1033.000,90,63,1.048,0.954,1.001
2,2295,59.290,59.429,3,255,1315.500,1166.500,169.777,57.161,51.120,90.000,1.000,57,1315.500,1195.000,90,51,1.118,0.894,1.002
3,6564,91.964,51.334,1,254,1585.500,1288.000,287.630,96.071,86.994,90.000,0.997,96,1585.500,1336.000,90,87,1.104,0.906,0.999
4,5160,80.413,50.166,1,227,1503.000,1375.000,254.556,84.057,78.160,90.000,1.000,84,1503.000,1417.000,90,78,1.075,0.930,1.005
5,5925,74.983,54.318,1,247,1606.500,1364.500,273.644,93.081,81.047,0.000,0.994,93,1560.000,1364.500,0,81,1.148,0.871,1.006
6,7705,103.077,56.660,0,240,1687.500,1304.500,311.018,99.047,99.047,0.000,1.000,99,1638.000,1304.500,0,99,1.000,1.000,0.996
7,3586,60.412,62.115,0,224,1794.000,1235.500,212.084,69.084,66.091,90.000,1.000,69,1794.000,1270.000,90,66,1.045,0.957,1.011
8,2544,64.991,48.865,4,194,1905.000,1091.500,186.238,71.846,45.084,0.000,0.922,72,1869.000,1091.500,0,45,1.594,0.628,1.004
9,2831,63.275,48.452,5,188,1990.500,1070.500,188.613,63.210,57.025,0.000,1.000,63,1959.000,1070.500,0,57,1.108,0.902,0.996
10,3728,57.827,38.808,5,200,2055.000,1093.000,216.872,71.891,66.026,90.000,0.996,72,2055.000,1129.000,90,66,1.089,0.918,1.005
11,4416,28.119,42.798,0,176,2121.000,1138.000,235.714,78.118,71.976,0.000,0.999,78,2082.000,1138.000,0,72,1.085,0.921,1.004
12,3379,47.962,66.612,0,227,2054.500,1183.500,207.929,72.894,59.021,90.000,0.982,73,2054.500,1220.000,90,59,1.235,0.810,1.001
13,5348,77.618,75.610,0,255,1947.000,1199.500,259.203,84.047,81.018,0.000,1.000,84,1905.000,1199.500,0,81,1.037,0.964,1.003
14,4248,72.061,61.309,0,241,1870.500,1267.000,230.931,75.059,72.059,0.000,1.000,75,1833.000,1267.000,0,72,1.042,0.960,1.009
