"min_sigma","max_sigma","threshold","overlap","TP","FP","FN","Precision","Sensitivity","F1"
20,32,0.005,0.3,348,2612,192,0.117567567567568,0.644444444444444,0.198857142857143
22,32,0.005,0.3,343,2385,197,0.125733137829912,0.635185185185185,0.209914320685435
24,32,0.005,0.3,331,2383,209,0.121960206337509,0.612962962962963,0.203441917639828
26,32,0.005,0.3,340,2227,200,0.132450331125828,0.62962962962963,0.218860637270679
28,32,0.005,0.3,338,2103,202,0.138467841048751,0.625925925925926,0.226769540422677
20,34,0.005,0.3,334,2489,206,0.118313850513638,0.618518518518518,0.198632173654475
22,34,0.005,0.3,343,2349,197,0.12741456166419,0.635185185185185,0.212252475247525
24,34,0.005,0.3,328,2187,212,0.130417495029821,0.607407407407407,0.214729950900164
26,34,0.005,0.3,312,2155,228,0.126469396027564,0.577777777777778,0.207515796474892
28,34,0.005,0.3,333,2002,207,0.142612419700214,0.616666666666667,0.231652173913043
20,36,0.005,0.3,330,2502,210,0.116525423728814,0.611111111111111,0.195729537366548
22,36,0.005,0.3,332,2268,208,0.127692307692308,0.614814814814815,0.211464968152866
24,36,0.005,0.3,328,2122,212,0.133877551020408,0.607407407407407,0.219397993311037
26,36,0.005,0.3,330,1986,210,0.142487046632124,0.611111111111111,0.23109243697479
28,36,0.005,0.3,304,1988,236,0.132635253054101,0.562962962962963,0.214689265536723
20,38,0.005,0.3,326,2389,214,0.120073664825046,0.603703703703704,0.200307219662058
22,38,0.005,0.3,317,2281,223,0.122016936104696,0.587037037037037,0.202039515615041
24,38,0.005,0.3,304,2091,236,0.126931106471816,0.562962962962963,0.207155025553663
26,38,0.005,0.3,310,1966,230,0.136203866432337,0.574074074074074,0.220170454545455
28,38,0.005,0.3,308,1852,232,0.142592592592593,0.57037037037037,0.228148148148148
20,40,0.005,0.3,306,2254,234,0.11953125,0.566666666666667,0.19741935483871
22,40,0.005,0.3,305,2213,235,0.121127879269261,0.564814814814815,0.199476782210595
24,40,0.005,0.3,293,2117,247,0.121576763485477,0.542592592592593,0.19864406779661
26,40,0.005,0.3,286,1934,254,0.128828828828829,0.52962962962963,0.207246376811594
